idInfoId,tc_kimlik_no,dogum_tarihi,surname,appliName,fatherName,motherName,kayit_durumu,soybis,maritalStatus,Kayitli_oldugu_il,Kayitli_oldugu_ilce,ciltNo,aileSirano,esAd,esSoyad,phone,addresNo,address,contact,appId,petId,gender
30,41447114,5/12/1957,Barrowcliffe,Arley,Justis,Edee,Justis de Castelain,,true,GEBZE,GEBZE,95,67,Ray,de Castelain,(392) 3193237,30,30,30,30,30,Male
31,50396455,5/16/1998,Halpeine,Matthieu,Wallie,Constanta,Wallie Olohan,,true,GEBZE,GEBZE,48,47,Rutger,Olohan,(875) 3968748,31,31,31,31,31,Male
32,6155601,6/15/1989,Treweke,Kenton,El,Milka,El Packe,,false,GEBZE,GEBZE,71,9,Alfonso,Packe,(348) 9284471,32,32,32,32,32,Male
33,7703782,8/4/1968,Grafton-Herbert,Ammamaria,Gaby,Jenni,Gaby Tupper,,false,GEBZE,GEBZE,76,46,Teodora,Tupper,(727) 4309431,33,33,33,33,33,Female
34,36411038,11/25/1995,Domingues,Gusta,Heriberto,Debera,Heriberto Tryhorn,,false,GEBZE,GEBZE,3,16,Cheri,Tryhorn,(302) 2740645,34,34,34,34,34,Female
35,49213141,10/9/1959,Deas,Maisie,Berne,Clarabelle,Berne Cusworth,,true,GEBZE,GEBZE,47,1,Tony,Cusworth,(174) 9747003,35,35,35,35,35,Female
36,26835147,1/13/1993,Ryrie,Townsend,Hunter,Willyt,Hunter Niesing,,true,GEBZE,GEBZE,29,54,Wade,Niesing,(661) 1235878,36,36,36,36,36,Male
37,45223713,8/24/1954,Frear,Carol-jean,Paddy,Johnna,Paddy Newarte,,false,GEBZE,GEBZE,46,27,Easter,Newarte,(169) 1877586,37,37,37,37,37,Female
38,30828599,11/29/1950,Leddie,Thorpe,Tate,Shawnee,Tate MacAlester,,false,GEBZE,GEBZE,51,33,Tate,MacAlester,(333) 9008525,38,38,38,38,38,Male
39,23667688,11/26/1997,Kesteven,Horacio,Clyve,Rosalynd,Clyve Velasquez,,false,GEBZE,GEBZE,44,65,Tadeas,Velasquez,(570) 9114183,39,39,39,39,39,Male
40,40916112,8/11/1985,Iacovino,Roseann,Jone,Josi,Jone Bode,,false,GEBZE,GEBZE,70,81,Rebeka,Bode,(939) 5241844,40,40,40,40,40,Female
41,43898697,9/29/1958,Knowler,Connor,Artie,Sheilakathryn,Artie Sandle,,true,GEBZE,GEBZE,87,32,Monti,Sandle,(921) 5910726,41,41,41,41,41,Male
42,36037291,3/29/1956,Ovid,Vernen,Regan,Kaleena,Regan Mutlow,,false,GEBZE,GEBZE,94,41,Johnny,Mutlow,(581) 9797979,42,42,42,42,42,Male
43,41185520,5/23/1964,Purton,Marchall,Carroll,Anet,Carroll Vurley,,false,GEBZE,GEBZE,80,65,Diarmid,Vurley,(654) 8307421,43,43,43,43,43,Male
44,49017061,4/11/1955,McDuff,Emmott,Knox,Godiva,Knox Oxenbury,,true,GEBZE,GEBZE,31,27,Goddard,Oxenbury,(831) 8298521,44,44,44,44,44,Male
45,28544049,7/10/1953,Cokly,Elizabeth,John,Marji,John Marzella,,true,GEBZE,GEBZE,48,84,Bee,Marzella,(296) 2613924,45,45,45,45,45,Female
46,37283270,2/7/1979,Gedling,Nelson,Grove,Emelyne,Grove MacEllen,,false,GEBZE,GEBZE,41,53,Lin,MacEllen,(321) 8921341,46,46,46,46,46,Male
47,47334140,5/7/1954,Witherbed,Samantha,Gunter,Carmencita,Gunter Prout,,false,GEBZE,GEBZE,32,87,Bibi,Prout,(890) 1664684,47,47,47,47,47,Female
48,26682236,11/9/1985,Randalson,Hettie,Duane,Gratia,Duane Kochs,,false,GEBZE,GEBZE,80,27,Rosina,Kochs,(891) 1715951,48,48,48,48,48,Female
49,42643076,5/20/2000,Piesold,Elonore,Tedd,Jobina,Tedd Huxtable,,true,GEBZE,GEBZE,57,39,Kordula,Huxtable,(378) 5008588,49,49,49,49,49,Female
50,42202082,3/19/1993,Hurlin,Benny,Gregoire,Mercedes,Gregoire Crumpton,,false,GEBZE,GEBZE,31,34,Fayette,Crumpton,(803) 1273895,50,50,50,50,50,Female
